question_id,question_text,scale_description
Q52,"In the last 12 months, how often have you or your family felt unsafe from crime in your home?","1=Often, 2=Sometimes, 3=Rarely, 4=Never"
Q53,"In the last 12 months, how often have you or your family gone without medicine or medical treatment?","1=Often, 2=Sometimes, 3=Rarely, 4=Never"
Q54,"In the last 12 months, how often have you or your family gone without a cash income?","1=Often, 2=Sometimes, 3=Rarely, 4=Never"
Q55,"In the last 12 months, how often have you or your family gone without a safe shelter over your head?","1=Often, 2=Sometimes, 3=Rarely, 4=Never"
Q56,"Comparing your standard of living with your parents when they were about your age, would you say you are:","1=Better off, 2=Worse off, 3=About the same"
Q57,"Generally speaking, would you say that most people can be trusted or that you need to be very careful?","1=Most people can be trusted, 2=Need to be very careful"
Q58,"How much do you trust your family?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q59,"How much do you trust your neighborhood?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q60,"How much do you trust people you know personally?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q61,"How much do you trust people you meet for the first time?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q62,"How much do you trust people of another religion?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q63,"How much do you trust people of another nationality?","1=Trust completely, 2=Trust somewhat, 3=Do not trust very much, 4=Do not trust at all"
Q65,"How much confidence do you have in the armed forces?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q66,"How much confidence do you have in the press?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q67,"How much confidence do you have in television?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q68,"How much confidence do you have in labor unions?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q69,"How much confidence do you have in the police?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q70,"How much confidence do you have in the courts?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q71,"How much confidence do you have in the government?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q72,"How much confidence do you have in political parties?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q73,"How much confidence do you have in parliament?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q74,"How much confidence do you have in the civil service?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q75,"How much confidence do you have in universities?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q76,"How much confidence do you have in elections?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q77,"How much confidence do you have in major companies?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q78,"How much confidence do you have in banks?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q79,"How much confidence do you have in environmental organizations?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q80,"How much confidence do you have in women's organizations?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q81,"How much confidence do you have in charitable or humanitarian organizations?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q82,"How much confidence do you have in the regional intergovernmental organization?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q83,"How much confidence do you have in the United Nations?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q84,"How much confidence do you have in the International Monetary Fund (IMF)?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q85,"How much confidence do you have in the International Criminal Court (ICC)?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q86,"How much confidence do you have in the North Atlantic Treaty Organization (NATO)?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q87,"How much confidence do you have in the World Bank?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q88,"How much confidence do you have in the World Health Organization (WHO)?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q89,"How much confidence do you have in the World Trade Organization (WTO)?","1=A great deal, 2=Quite a lot, 3=Not very much, 4=None at all"
Q90,"Should international organizations prioritize being effective or being democratic?","1=Being effective to 10=Being democratic"
Q95,"Are you a member of a sport or recreational organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q96,"Are you a member of an art, music or educational organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q97,"Are you a member of a labor union?","0=Don't belong, 1=Inactive member, 2=Active member"
Q98,"Are you a member of a political party?","0=Don't belong, 1=Inactive member, 2=Active member"
Q99,"Are you a member of an environmental organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q100,"Are you a member of a professional association?","0=Don't belong, 1=Inactive member, 2=Active member"
Q101,"Are you a member of a humanitarian or charitable organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q102,"Are you a member of a consumer organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q103,"Are you a member of a self-help group or mutual aid group?","0=Don't belong, 1=Inactive member, 2=Active member"
Q104,"Are you a member of a women's group?","0=Don't belong, 1=Inactive member, 2=Active member"
Q105,"Are you a member of any other organization?","0=Don't belong, 1=Inactive member, 2=Active member"
Q106,"Where would you place your views on income equality vs. incentives for individual effort?","1=Incomes should be more equal to 10=Greater incentives for individual effort"
Q107,"Where would you place your views on private vs. government ownership of business?","1=Private ownership should be increased to 10=Government ownership should be increased"
Q108,"Where would you place your views on government vs. personal responsibility?","1=Government should take more responsibility to 10=People should take more responsibility"
Q109,"Where would you place your views on whether competition is good or harmful?","1=Competition is good to 10=Competition is harmful"
Q110,"Where would you place your views on whether hard work brings a better life?","1=Hard work usually brings a better life to 10=It is more a matter of luck and connections"
Q111,"Which comes closer to your view on environment vs. economic growth?","1=Protecting environment priority, 2=Economic growth priority, 3=Other"
Q112,"How would you rate corruption in your country?","1=No corruption to 10=Abundant corruption"
Q113,"How many state authorities do you believe are involved in corruption?","1=None of them, 2=Few of them, 3=Most of them, 4=All of them"
Q114,"How many business executives do you believe are involved in corruption?","1=None of them, 2=Few of them, 3=Most of them, 4=All of them"
Q115,"How many local authorities do you believe are involved in corruption?","1=None of them, 2=Few of them, 3=Most of them, 4=All of them"
Q116,"How many civil service providers do you believe are involved in corruption?","1=None of them, 2=Few of them, 3=Most of them, 4=All of them"
Q117,"How many journalists and media do you believe are involved in corruption?","1=None of them, 2=Few of them, 3=Most of them, 4=All of them"
Q118,"How often do ordinary people have to pay a bribe to get services?","1=Never, 2=Rarely, 3=Frequently, 4=Always"
Q119,"Do you agree that on the whole, women are less corrupt than men?","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree, 0=Hard to say"
Q120,"How high is the risk of being held accountable for bribery in this country?","1=No risk at all to 10=Very high risk"
Q121,"How would you evaluate the impact of immigrants on the development of your country?","1=Very bad, 2=Quite bad, 3=Neither good nor bad, 4=Quite good, 5=Very good"
Q122,"Immigration fills important job vacancies.","0=Disagree, 1=Hard to say, 2=Agree"
Q123,"Immigration strengthens cultural diversity.","0=Disagree, 1=Hard to say, 2=Agree"
Q124,"Immigration increases the crime rate.","0=Disagree, 1=Hard to say, 2=Agree"
Q125,"Immigration gives asylum to political refugees persecuted elsewhere.","0=Disagree, 1=Hard to say, 2=Agree"
Q126,"Immigration increases the risks of terrorism.","0=Disagree, 1=Hard to say, 2=Agree"
Q127,"Immigration offers people from poor countries a better living.","0=Disagree, 1=Hard to say, 2=Agree"
Q128,"Immigration increases unemployment.","0=Disagree, 1=Hard to say, 2=Agree"
Q129,"Immigration leads to social conflict.","0=Disagree, 1=Hard to say, 2=Agree"
Q130,"What should the government do about people from other countries coming to work?","1=Let anyone come, 2=Let people come if jobs available, 3=Strict limits, 4=Prohibit"
Q131,"How secure do you feel these days?","1=Very secure, 2=Quite secure, 3=Not very secure, 4=Not at all secure"
Q132,"How frequently do robberies occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q133,"How frequently does alcohol consumption in the streets occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q134,"How frequently does police or military interference with private life occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q135,"How frequently does racist behavior occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q136,"How frequently does drug sale in streets occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q137,"How frequently does street violence and fights occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q138,"How frequently does sexual harassment occur in your neighborhood?","1=Very frequently, 2=Quite frequently, 3=Not frequently, 4=Not at all frequently"
Q139,"For security reasons, have you avoided carrying much money?","1=Yes, 2=No"
Q140,"For security reasons, have you preferred not to go out at night?","1=Yes, 2=No"
Q141,"For security reasons, have you carried a knife, gun or other weapon?","1=Yes, 2=No"
Q142,"How worried are you about losing your job or not finding a job?","1=Very much, 2=A good deal, 3=Not much, 4=Not at all"
Q143,"How worried are you about not being able to give your children a good education?","1=Very much, 2=A good deal, 3=Not much, 4=Not at all"
Q144,"Have you been the victim of a crime during the past year?","1=Yes, 2=No"
Q145,"Has someone in your family been the victim of a crime during the past year?","1=Yes, 2=No"
Q146,"How worried are you about a war involving your country?","1=Very much, 2=A good deal, 3=Not much, 4=Not at all"
Q147,"How worried are you about a terrorist attack?","1=Very much, 2=A good deal, 3=Not much, 4=Not at all"
Q148,"How worried are you about a civil war?","1=Very much, 2=A good deal, 3=Not much, 4=Not at all"
Q149,"If you had to choose between freedom and equality, which would you consider more important?","1=Freedom, 2=Equality"
Q150,"If you had to choose between freedom and security, which would you consider more important?","1=Freedom, 2=Security"
Q151,"If it came to that, would you be willing to fight for your country?","1=Yes, 2=No"
Q152,"What should be the most important aim of the country for the next ten years? (First choice)","1=High economic growth, 2=Strong defense, 3=More say in jobs/community, 4=More beautiful cities"
Q153,"What should be the most important aim of the country for the next ten years? (Second choice)","1=High economic growth, 2=Strong defense, 3=More say in jobs/community, 4=More beautiful cities"
Q154,"Which is most important? (First choice)","1=Maintaining order, 2=Giving people more say, 3=Fighting rising prices, 4=Protecting free speech"
Q155,"Which is most important? (Second choice)","1=Maintaining order, 2=Giving people more say, 3=Fighting rising prices, 4=Protecting free speech"
Q156,"Which is most important? (First choice)","1=Stable economy, 2=More humane society, 3=Ideas count more than money, 4=Fight against crime"
Q157,"Which is most important? (Second choice)","1=Stable economy, 2=More humane society, 3=Ideas count more than money, 4=Fight against crime"
Q158,"Science and technology are making our lives healthier, easier, and more comfortable.","1=Completely disagree to 10=Completely agree"
Q159,"Because of science and technology, there will be more opportunities for the next generation.","1=Completely disagree to 10=Completely agree"
Q161,"One of the bad effects of science is that it breaks down people's ideas of right and wrong.","1=Completely disagree to 10=Completely agree"
Q162,"It is not important for me to know about science in my daily life.","1=Completely disagree to 10=Completely agree"
Q163,"Would you say the world is better off or worse off because of science and technology?","1=A lot worse off to 10=A lot better off"
Q176,"How much do you agree that one often has trouble deciding which moral rules are right?","1=Completely agree to 10=Completely disagree"
Q177,"Can claiming government benefits to which you are not entitled ever be justified?","1=Never justifiable to 10=Always justifiable"
Q178,"Can avoiding a fare on public transport ever be justified?","1=Never justifiable to 10=Always justifiable"
Q179,"Can stealing property ever be justified?","1=Never justifiable to 10=Always justifiable"
Q180,"Can cheating on taxes ever be justified?","1=Never justifiable to 10=Always justifiable"
Q181,"Can someone accepting a bribe in the course of their duties ever be justified?","1=Never justifiable to 10=Always justifiable"
Q182,"Can homosexuality ever be justified?","1=Never justifiable to 10=Always justifiable"
Q183,"Can prostitution ever be justified?","1=Never justifiable to 10=Always justifiable"
Q184,"Can abortion ever be justified?","1=Never justifiable to 10=Always justifiable"
Q185,"Can divorce ever be justified?","1=Never justifiable to 10=Always justifiable"
Q186,"Can sex before marriage ever be justified?","1=Never justifiable to 10=Always justifiable"
Q187,"Can suicide ever be justified?","1=Never justifiable to 10=Always justifiable"
Q188,"Can euthanasia ever be justified?","1=Never justifiable to 10=Always justifiable"
Q189,"Can a man beating his wife ever be justified?","1=Never justifiable to 10=Always justifiable"
Q190,"Can parents beating children ever be justified?","1=Never justifiable to 10=Always justifiable"
Q191,"Can violence against other people ever be justified?","1=Never justifiable to 10=Always justifiable"
Q192,"Can terrorism as a political, ideological or religious means ever be justified?","1=Never justifiable to 10=Always justifiable"
Q193,"Can having casual sex ever be justified?","1=Never justifiable to 10=Always justifiable"
Q194,"Can political violence ever be justified?","1=Never justifiable to 10=Always justifiable"
Q195,"Can the death penalty ever be justified?","1=Never justifiable to 10=Always justifiable"
Q196,"Should the government have the right to keep people under video surveillance in public areas?","1=Definitely should, 2=Probably should, 3=Probably should not, 4=Definitely should not"
Q197,"Should the government have the right to monitor all e-mails and information on the Internet?","1=Definitely should, 2=Probably should, 3=Probably should not, 4=Definitely should not"
Q198,"Should the government have the right to collect information about anyone without their knowledge?","1=Definitely should, 2=Probably should, 3=Probably should not, 4=Definitely should not"
Q199,"How interested would you say you are in politics?","1=Very interested, 2=Somewhat interested, 3=Not very interested, 4=Not at all interested"
Q200,"When you get together with friends, do you discuss political matters?","1=Frequently, 2=Occasionally, 3=Never"
Q201,"How often do you use daily newspapers to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q202,"How often do you use TV news to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q203,"How often do you use radio news to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q204,"How often do you use mobile phone to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q205,"How often do you use email to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q206,"How often do you use the Internet to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q207,"How often do you use social media (Facebook, Twitter, etc.) to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q208,"How often do you talk with friends or colleagues to obtain information?","1=Daily, 2=Weekly, 3=Monthly, 4=Less than monthly, 5=Never"
Q209,"Have you signed a petition, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q210,"Have you joined in boycotts, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q211,"Have you attended peaceful demonstrations, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q212,"Have you joined strikes, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q213,"Have you donated to a group or campaign, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q214,"Have you contacted a government official, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q215,"Have you encouraged others to take action about political issues, might you, or would you never?","1=Have done, 2=Might do, 3=Would never do"
Q216,"Have you encouraged others to vote, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q217,"Have you searched online for information about politics, might you, or would you never?","1=Have done, 2=Might do, 3=Would never do"
Q218,"Have you signed an electronic petition, might you do it, or would you never do it?","1=Have done, 2=Might do, 3=Would never do"
Q219,"Have you encouraged others online to take political action, might you, or would you never?","1=Have done, 2=Might do, 3=Would never do"
Q220,"Have you organized political activities or protests online, might you, or would you never?","1=Have done, 2=Might do, 3=Would never do"
Q221,"When elections take place at the local level, do you vote always, usually, or never?","1=Always, 2=Usually, 3=Never, 4=Not allowed to vote"
Q222,"When elections take place at the national level, do you vote always, usually, or never?","1=Always, 2=Usually, 3=Never, 4=Not allowed to vote"
Q223,"If there were a national election tomorrow, for which party would you vote?","Country-specific party code"
Q224,"How often are votes counted fairly in this country's elections?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q225,"How often are opposition candidates prevented from running?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q226,"How often does TV news favor the governing party?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q227,"How often are voters bribed?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q228,"How often do journalists provide fair coverage of elections?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q229,"How often are election officials fair?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q230,"How often do rich people buy elections?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q231,"How often are voters threatened with violence at the polls?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q232,"How often are voters offered a genuine choice in elections?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q233,"How often do women have equal opportunities to run for office?","1=Very often, 2=Fairly often, 3=Not often, 4=Not at all often"
Q234,"How important is having honest elections for you?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q235,"Having a strong leader who does not have to bother with parliament and elections — is this good or bad?","1=Very good, 2=Fairly good, 3=Fairly bad, 4=Very bad"
Q236,"Having experts, not government, make decisions — is this good or bad?","1=Very good, 2=Fairly good, 3=Fairly bad, 4=Very bad"
Q237,"Having the army rule — is this good or bad?","1=Very good, 2=Fairly good, 3=Fairly bad, 4=Very bad"
Q238,"Having a democratic political system — is this good or bad?","1=Very good, 2=Fairly good, 3=Fairly bad, 4=Very bad"
Q240,"In political matters, where would you place your views on a left-right scale?","1=Left to 10=Right"
Q241,"How essential is it for democracy that governments tax the rich and subsidize the poor?","1=Not essential to 10=Essential"
Q243,"How essential is it for democracy that people choose their leaders in free elections?","1=Not essential to 10=Essential"
Q244,"How essential is it for democracy that people receive state aid for unemployment?","1=Not essential to 10=Essential"
Q245,"How essential is it for democracy that the army takes over when government is incompetent?","1=Not essential to 10=Essential"
Q246,"How essential is it for democracy that civil rights protect people from state oppression?","1=Not essential to 10=Essential"
Q247,"How essential is it for democracy that the state makes people's incomes equal?","1=Not essential to 10=Essential"
Q248,"How essential is it for democracy that people obey their rulers?","1=Not essential to 10=Essential"
Q249,"How essential is it for democracy that women have the same rights as men?","1=Not essential to 10=Essential"
Q250,"How important is it for you to live in a country that is governed democratically?","1=Not at all important to 10=Absolutely important"
Q251,"How democratically is this country being governed today?","1=Not at all democratic to 10=Completely democratic"
Q252,"How satisfied are you with how the political system is functioning in your country?","1=Not satisfied at all to 10=Completely satisfied"
Q253,"How much respect is there for individual human rights in this country?","1=A great deal, 2=Fairly much, 3=Not much, 4=No respect at all"
Q254,"How proud are you to be a citizen of your country?","1=Very proud, 2=Quite proud, 3=Not very proud, 4=Not at all proud"
Q255,"How close do you feel to your village, town, or city?","1=Very close, 2=Close, 3=Not very close, 4=Not close at all"
Q256,"How close do you feel to your county, region, or district?","1=Very close, 2=Close, 3=Not very close, 4=Not close at all"
Q257,"How close do you feel to your country?","1=Very close, 2=Close, 3=Not very close, 4=Not close at all"
Q258,"How close do you feel to your continent?","1=Very close, 2=Close, 3=Not very close, 4=Not close at all"
Q259,"How close do you feel to the world?","1=Very close, 2=Close, 3=Not very close, 4=Not close at all"
